0	1	2
0	29	2
0	30	1
1	2	2
1	35	1
2	3	2
2	40	1
3	4	2
3	45	1
4	5	2
4	50	1
5	6	2
5	55	1
6	7	2
6	60	1
7	8	2
7	65	1
8	9	2
8	70	1
9	10	2
9	75	1
10	11	2
10	80	1
11	12	2
11	85	1
12	13	2
12	90	1
13	14	2
13	95	1
14	15	2
14	100	1
15	16	2
15	105	1
16	17	2
16	110	1
17	18	2
17	115	1
18	19	2
18	120	1
19	20	2
19	125	1
20	21	2
20	130	1
21	22	2
21	135	1
22	23	2
22	140	1
23	24	2
23	145	1
24	25	2
24	150	1
25	26	2
25	155	1
26	27	2
26	160	1
27	28	2
27	165	1
28	29	2
28	170	1
29	175	1
30	31	6
31	32	7
32	33	8
32	34	8
35	36	9
35	37	9
35	39	1
36	38	11
36	39	12
37	38	10
37	39	11
40	41	9
40	42	9
41	43	9
41	44	11
42	43	11
42	44	10
45	46	6
46	47	7
47	48	8
47	49	8
50	51	9
50	52	9
51	53	10
51	54	11
52	53	11
52	54	10
54	54	1
55	56	9
55	57	9
56	57	1
56	58	10
56	59	11
57	58	11
57	59	10
60	61	6
61	62	7
62	63	8
62	64	8
65	66	9
65	67	10
66	68	10
66	69	11
67	68	11
67	69	9
70	71	9
70	72	9
71	73	10
71	74	11
72	73	11
72	74	10
75	76	6
75	77	1
76	77	7
77	78	8
77	79	8
78	79	1
80	81	9
80	82	9
81	83	10
81	84	11
82	83	11
82	84	10
85	86	8
85	87	9
86	88	10
86	89	11
87	88	11
87	89	11
90	91	6
91	92	7
92	93	8
92	94	8
95	96	9
95	97	9
96	98	10
96	99	11
97	98	11
97	99	10
100	101	9
100	102	9
101	103	10
101	104	10
102	102	1
102	103	11
102	104	10
105	106	6
106	107	7
107	108	8
107	109	8
110	111	9
110	112	9
111	113	10
111	114	11
112	113	11
112	114	10
115	116	9
115	117	9
115	119	1
116	118	10
116	119	11
117	118	11
117	119	10
120	121	6
121	122	6
122	123	8
122	124	8
125	126	9
125	127	9
126	128	10
126	129	11
127	128	12
127	129	10
130	131	9
130	132	9
131	133	10
131	134	11
132	133	11
132	134	10
135	136	6
135	139	1
136	137	7
136	138	1
137	138	8
137	139	8
140	141	9
140	142	9
141	143	10
141	144	11
142	143	11
142	144	10
145	146	9
145	147	9
146	148	10
146	149	11
147	148	11
147	149	10
150	151	6
151	152	7
152	153	9
152	154	8
155	156	9
155	157	9
156	158	10
156	159	11
157	158	11
157	159	10
160	161	9
160	162	9
161	163	10
161	164	11
162	163	11
162	164	11
165	166	6
165	167	1
166	167	7
167	168	8
167	169	8
170	171	9
170	172	9
171	173	10
171	174	11
172	173	11
172	174	9
175	176	9
175	177	9
175	178	2
175	179	1
176	176	1
176	178	10
176	179	11
177	178	11
177	179	10
178	178	1
178	179	1
