0	1	2
0	29	2
0	30	1
1	2	2
1	35	1
2	3	2
2	40	1
3	4	2
3	45	1
4	5	2
4	50	1
5	6	2
5	55	1
6	7	2
6	60	1
7	8	2
7	65	1
8	9	2
8	70	1
9	10	2
9	75	1
10	11	2
10	80	1
11	12	2
11	85	1
12	13	2
12	90	1
13	14	2
13	95	1
14	15	2
14	100	1
15	16	2
15	105	1
16	17	2
16	110	1
17	18	2
17	115	1
18	19	2
18	120	1
19	20	2
19	125	1
20	21	2
20	130	1
21	22	2
21	135	1
22	23	2
22	140	1
23	24	2
23	145	1
24	25	2
24	150	1
25	26	2
25	155	1
26	27	2
26	160	1
27	28	2
27	165	1
28	29	2
28	170	1
29	175	1
30	31	6
31	32	6
32	33	8
32	34	8
35	36	5
35	38	1
36	37	5
36	38	6
36	39	5
40	41	5
41	42	5
41	43	5
41	44	5
45	46	6
46	47	7
47	48	8
47	49	8
50	51	5
51	52	5
51	53	5
51	54	5
55	56	5
55	59	1
56	57	5
56	58	5
56	59	6
60	61	6
61	62	7
62	63	8
62	64	8
65	66	5
66	67	5
66	68	5
66	69	5
67	69	1
70	71	5
71	72	5
71	73	5
71	74	5
75	76	6
76	77	7
77	78	8
77	79	8
80	81	5
81	82	4
81	83	5
81	84	5
85	86	5
86	87	5
86	88	5
86	89	5
87	89	1
90	91	6
91	92	7
92	93	8
92	94	8
95	96	5
96	97	5
96	98	5
96	99	5
97	97	1
97	99	1
100	101	5
100	102	1
101	102	5
101	103	5
101	104	5
105	106	6
105	107	1
106	107	7
107	108	7
107	109	8
110	111	4
111	112	5
111	113	5
111	114	5
115	116	5
115	119	1
116	117	5
116	118	5
116	119	5
117	118	1
120	121	6
121	122	7
122	123	8
122	124	8
125	126	5
125	129	1
126	127	5
126	128	5
126	129	5
130	131	6
131	132	5
131	133	5
131	134	5
135	136	6
136	137	7
137	138	9
137	139	8
138	138	1
140	141	5
141	142	5
141	143	5
141	144	5
145	146	4
146	147	5
146	148	5
146	149	5
148	149	1
150	151	6
150	152	1
151	152	7
152	153	8
152	154	8
155	156	5
156	157	5
156	158	5
156	159	5
160	161	5
161	162	5
161	163	5
161	164	5
162	163	1
165	166	6
166	167	7
167	168	8
167	169	8
170	171	5
171	172	5
171	173	5
171	174	5
175	176	5
176	177	5
176	178	5
176	179	5
177	178	1
